Date,Time,Date_Time,Groundwater_Level_ft,Atm_Pressure_ft,Temp_Celsius
7/29/2008,0:00:00,7/29/2008 0:00,5.572,,
7/29/2008,6:00:00,7/29/2008 6:00,5.5421,,
7/29/2008,12:00:00,7/29/2008 12:00,5.5175,,
7/29/2008,18:00:00,7/29/2008 18:00,5.5021,,
7/30/2008,0:00:00,7/30/2008 0:00,5.486,,
7/30/2008,6:00:00,7/30/2008 6:00,5.4694,,
7/30/2008,12:00:00,7/30/2008 12:00,5.4512,,
7/30/2008,18:00:00,7/30/2008 18:00,5.3991,,
7/31/2008,0:00:00,7/31/2008 0:00,5.3897,,
7/31/2008,6:00:00,7/31/2008 6:00,5.3425,,
7/31/2008,12:00:00,7/31/2008 12:00,5.3591,,
7/31/2008,18:00:00,7/31/2008 18:00,5.3048,,
8/1/2008,0:00:00,8/1/2008 0:00,5.2975,,
8/1/2008,6:00:00,8/1/2008 6:00,5.2652,,
8/1/2008,12:00:00,8/1/2008 12:00,5.2787,,
8/1/2008,18:00:00,8/1/2008 18:00,5.225,,
8/2/2008,0:00:00,8/2/2008 0:00,5.2294,,
8/2/2008,6:00:00,8/2/2008 6:00,5.1889,,
8/2/2008,12:00:00,8/2/2008 12:00,5.1852,,
8/2/2008,18:00:00,8/2/2008 18:00,5.1515,,
8/3/2008,0:00:00,8/3/2008 0:00,5.1332,,
8/3/2008,6:00:00,8/3/2008 6:00,5.1093,,
8/3/2008,12:00:00,8/3/2008 12:00,5.1325,,
8/3/2008,18:00:00,8/3/2008 18:00,5.0816,,
8/4/2008,0:00:00,8/4/2008 0:00,5.0583,,
8/4/2008,6:00:00,8/4/2008 6:00,5.0294,,
8/4/2008,12:00:00,8/4/2008 12:00,5.0701,,
8/4/2008,18:00:00,8/4/2008 18:00,5.0407,,
8/5/2008,0:00:00,8/5/2008 0:00,4.9792,,
8/5/2008,6:00:00,8/5/2008 6:00,4.9782,,
8/5/2008,12:00:00,8/5/2008 12:00,5.0239,,
8/5/2008,18:00:00,8/5/2008 18:00,4.9969,,
8/6/2008,0:00:00,8/6/2008 0:00,4.9585,,
8/6/2008,6:00:00,8/6/2008 6:00,4.9407,,
8/6/2008,12:00:00,8/6/2008 12:00,4.9948,,
8/6/2008,18:00:00,8/6/2008 18:00,4.9892,,
8/7/2008,0:00:00,8/7/2008 0:00,4.942,,
8/7/2008,6:00:00,8/7/2008 6:00,4.9356,,
8/7/2008,12:00:00,8/7/2008 12:00,5.0073,,
8/7/2008,18:00:00,8/7/2008 18:00,4.9783,,
8/8/2008,0:00:00,8/8/2008 0:00,4.9077,,
8/8/2008,6:00:00,8/8/2008 6:00,4.9368,,
8/8/2008,12:00:00,8/8/2008 12:00,4.9782,,
8/8/2008,18:00:00,8/8/2008 18:00,5.002,,
8/9/2008,0:00:00,8/9/2008 0:00,4.8966,,
8/9/2008,6:00:00,8/9/2008 6:00,4.9473,,
8/9/2008,12:00:00,8/9/2008 12:00,4.9846,,
8/9/2008,18:00:00,8/9/2008 18:00,5.0249,,
8/10/2008,0:00:00,8/10/2008 0:00,4.9754,,
8/10/2008,6:00:00,8/10/2008 6:00,4.9869,,
8/10/2008,12:00:00,8/10/2008 12:00,5.0595,,
8/10/2008,18:00:00,8/10/2008 18:00,5.0887,,
8/11/2008,0:00:00,8/11/2008 0:00,5.0137,,
8/11/2008,6:00:00,8/11/2008 6:00,5.0193,,
8/11/2008,12:00:00,8/11/2008 12:00,5.0664,,
8/11/2008,18:00:00,8/11/2008 18:00,5.1137,,
8/12/2008,0:00:00,8/12/2008 0:00,4.9901,,
8/12/2008,6:00:00,8/12/2008 6:00,5.0266,,
8/12/2008,12:00:00,8/12/2008 12:00,5.0895,,
8/12/2008,18:00:00,8/12/2008 18:00,5.1429,,
8/13/2008,0:00:00,8/13/2008 0:00,5.0072,,
8/13/2008,6:00:00,8/13/2008 6:00,5.0467,,
8/13/2008,12:00:00,8/13/2008 12:00,5.0918,,
8/13/2008,18:00:00,8/13/2008 18:00,5.1068,,
8/14/2008,0:00:00,8/14/2008 0:00,4.969,,
8/14/2008,6:00:00,8/14/2008 6:00,5.0196,,
8/14/2008,12:00:00,8/14/2008 12:00,5.0568,,
8/14/2008,18:00:00,8/14/2008 18:00,5.073,,
8/15/2008,0:00:00,8/15/2008 0:00,4.9894,,
8/15/2008,6:00:00,8/15/2008 6:00,5.0544,,
8/15/2008,12:00:00,8/15/2008 12:00,5.0795,,
8/15/2008,18:00:00,8/15/2008 18:00,5.1243,,
8/16/2008,0:00:00,8/16/2008 0:00,4.9609,,
8/16/2008,6:00:00,8/16/2008 6:00,4.9923,,
8/16/2008,12:00:00,8/16/2008 12:00,5.0271,,
8/16/2008,18:00:00,8/16/2008 18:00,5.0866,,
8/17/2008,0:00:00,8/17/2008 0:00,4.9348,,
8/17/2008,6:00:00,8/17/2008 6:00,4.9652,,
8/17/2008,12:00:00,8/17/2008 12:00,4.9826,,
8/17/2008,18:00:00,8/17/2008 18:00,5.0195,,
8/18/2008,0:00:00,8/18/2008 0:00,4.8849,,
8/18/2008,6:00:00,8/18/2008 6:00,4.9267,,
8/18/2008,12:00:00,8/18/2008 12:00,4.9062,,
8/18/2008,18:00:00,8/18/2008 18:00,4.9916,,
8/19/2008,0:00:00,8/19/2008 0:00,4.9092,,
8/19/2008,6:00:00,8/19/2008 6:00,4.9132,,
8/19/2008,12:00:00,8/19/2008 12:00,4.9246,,
8/19/2008,18:00:00,8/19/2008 18:00,4.9827,,
8/20/2008,0:00:00,8/20/2008 0:00,4.9221,,
